B-001-021-101,What is the purpose of a balun?,To match impedance between balanced and unbalanced lines,To amplify signals,To store energy,To convert voltage,A
B-001-021-102,What is the function of a dipole antenna?,To radiate RF energy,To store energy,To amplify signals,To convert voltage,A
B-001-021-103,What is the function of a Yagi antenna?,To provide directional gain,To store energy,To amplify signals,To convert voltage,A
B-001-021-104,What is the function of a vertical antenna?,To provide omnidirectional coverage,To store energy,To amplify signals,To convert voltage,A
B-001-021-105,What is the function of a loop antenna?,To receive signals with low noise,To store energy,To amplify signals,To convert voltage,A
B-001-021-106,What is the function of a beam antenna?,To focus RF energy in one direction,To store energy,To amplify signals,To convert voltage,A
B-001-021-107,What is the function of a log periodic antenna?,To cover a wide frequency range,To store energy,To amplify signals,To convert voltage,A
B-001-021-108,What is the function of a discone antenna?,To provide wideband coverage,To store energy,To amplify signals,To convert voltage,A
B-001-021-109,What is the function of a ground plane?,To reflect RF energy,To store energy,To amplify signals,To convert voltage,A
B-001-021-110,What is the function of a counterpoise?,To provide a substitute ground,To store energy,To amplify signals,To convert voltage,A
B-001-021-111,What is the function of a feedline?,To carry RF energy between radio and antenna,To store energy,To amplify signals,To convert voltage,A
B-001-021-112,What is the function of coaxial cable?,To shield and carry RF signals,To store energy,To amplify signals,To convert voltage,A
B-001-021-113,What is the function of twin-lead cable?,To carry balanced RF signals,To store energy,To amplify signals,To convert voltage,A
B-001-021-114,What is the function of ladder line?,To carry balanced RF signals with low loss,To store energy,To amplify signals,To convert voltage,A
B-001-021-115,What is the function of a connector?,To join feedlines and equipment,To store energy,To amplify signals,To convert voltage,A
B-001-021-116,What is the function of a PL-259 connector?,To connect coaxial cable to equipment,To store energy,To amplify signals,To convert voltage,A
B-001-021-117,What is the function of a BNC connector?,To provide quick coaxial connections,To store energy,To amplify signals,To convert voltage,A
B-001-021-118,What is the function of an N-type connector?,To provide low-loss coaxial connection,To store energy,To amplify signals,To convert voltage,A
B-001-021-119,What is the function of an SMA connector?,To connect small RF devices,To store energy,To amplify signals,To convert voltage,A
B-001-021-120,What is the function of a TNC connector?,To provide threaded coaxial connection,To store energy,To amplify signals,To convert voltage,A
...
